id,symbol,date,open_price,high_price,low_price,close_price,volume,created_at
272,IGIHL,2026-01-23,252.0,254.39,252.0,252.28,3451,2026-01-22 20:07:07
273,IGIL,2026-01-23,23.51,24.8,23.51,23.56,7720,2026-01-22 20:07:11
274,ILP,2026-01-23,83.04,83.97,82.9,83.0,86841,2026-01-22 20:07:15
275,IMAGE,2026-01-23,26.8,27.2,26.45,26.65,411415,2026-01-22 20:07:17
276,IML,2026-01-23,24.5,26.37,24.5,26.37,700,2026-01-22 20:07:20
277,IMS,2026-01-23,22.82,23.18,22.55,22.85,68830,2026-01-22 20:07:23
278,INDU,2026-01-23,2143.96,2143.96,2123.01,2138.0,4883,2026-01-22 20:07:27
279,INIL,2026-01-23,189.0,189.0,187.0,187.7,76723,2026-01-22 20:07:31
280,INKL,2026-01-23,98.67,98.67,94.9,94.9,50191,2026-01-22 20:07:33
281,IPAK,2026-01-23,30.0,30.2,29.75,29.85,254504,2026-01-22 20:07:38
282,IREIT,2026-01-23,9.36,9.52,9.35,9.41,254721,2026-01-22 20:07:42
283,ISIL,2026-01-23,1994.0,2020.4,1994.0,2020.4,21,2026-01-22 20:07:45
284,ISL,2026-01-23,111.0,111.0,108.87,109.5,239484,2026-01-22 20:07:49
285,ITTEFAQ,2026-01-23,10.17,10.39,10.17,10.21,58398,2026-01-22 20:07:55
286,JATM,2026-01-23,23.27,23.27,21.71,23.26,4253,2026-01-22 20:07:59
287,JDMT,2026-01-23,163.4,163.4,163.4,163.4,1,2026-01-22 20:08:02
288,JDWS,2026-01-23,939.99,939.99,882.22,891.0,448,2026-01-22 20:08:05
289,JGICL,2026-01-23,84.5,85.0,84.13,85.0,18473,2026-01-22 20:08:08
290,JKSM,2026-01-23,168.0,168.0,168.0,168.0,150,2026-01-22 20:08:11
291,JLICL,2026-01-23,225.0,225.0,214.0,216.05,25721,2026-01-22 20:08:17
292,JSBL,2026-01-23,17.98,18.0,17.76,18.0,93592,2026-01-22 20:08:21
293,JSCL,2026-01-23,27.5,27.5,27.33,27.5,23546,2026-01-22 20:08:23
294,JSCLPSA,2026-01-23,10.16,10.16,10.16,10.16,10000,2026-01-22 20:08:27
295,JSGBETF,2026-01-23,49.77,49.77,49.37,49.37,3500,2026-01-22 20:08:29
296,JSGCL,2026-01-23,180.0,180.0,165.0,179.99,423,2026-01-22 20:08:33
297,JSIL,2026-01-23,41.66,45.0,41.66,45.0,252,2026-01-22 20:08:36
298,JSMFETF,2026-01-23,13.02,13.09,12.95,13.0,229500,2026-01-22 20:08:40
299,JSML,2026-01-23,79.48,79.48,79.48,79.48,1,2026-01-22 20:08:43
300,JUBS,2026-01-23,25.5,25.5,24.05,24.49,306,2026-01-22 20:08:46
301,JVDC,2026-01-23,141.19,145.99,141.19,142.0,6517858,2026-01-22 20:08:50
302,JVDCPS,2026-01-23,35.26,35.26,35.26,35.26,13,2026-01-22 20:08:53
303,KAPCO,2026-01-23,35.14,35.2,34.7,34.75,479018,2026-01-22 20:09:00
304,KCL,2026-01-23,159.0,165.01,159.0,165.01,16,2026-01-22 20:09:03
305,KEL,2026-01-23,7.1,7.18,6.96,6.97,18662781,2026-01-22 20:09:09
306,KHTC,2026-01-23,366.09,375.0,366.09,375.0,2653,2026-01-22 20:09:13
307,KHYT,2026-01-23,1741.8,1741.8,1740.97,1740.97,3,2026-01-22 20:09:15
308,KML,2026-01-23,13.8,13.8,13.6,13.6,12130,2026-01-22 20:09:19
309,KOHC,2026-01-23,116.0,116.2,114.51,115.0,399491,2026-01-22 20:09:23
310,KOHE,2026-01-23,17.39,17.39,17.26,17.3,5646,2026-01-22 20:09:25
311,KOHP,2026-01-23,67.09,68.38,66.0,67.98,585243,2026-01-22 20:09:29
312,KOHTM,2026-01-23,58.0,58.48,57.0,58.0,7472,2026-01-22 20:09:33
313,KOIL,2026-01-23,67.23,67.23,61.3,67.23,656468,2026-01-22 20:09:36
314,KOSM,2026-01-23,6.76,6.76,6.68,6.68,551435,2026-01-22 20:09:39
315,KPUS,2026-01-23,183.95,183.95,162.05,168.0,907,2026-01-22 20:09:42
316,KSBP,2026-01-23,195.2,197.0,193.9,195.0,32856,2026-01-22 20:09:45
317,KSTM,2026-01-23,13.47,13.89,12.3,13.25,45690,2026-01-22 20:09:49
